NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Bunker Hill Triangle Park,"Michigan Ave.,18th St.,Bunker Hill Rd.,NE",TRIANGLE,DPR_0696,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,0696,none,PAR 01470143,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{2BBE0D90-07AE-4BE6-BA60-15AFB638C83D},,,52,0,0
Triangle Park RES 0353,"Massachusetts Ave.,47th St. ,Upton St.,NW",TRIANGLE,DPR_0353,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,03,,0353,none,1556W   0800,TOJ for Comp Plan,,,{9A62AB02-4AB3-4CFD-A9E1-1FFD2EA344CB},,,53,0,0
Triangle Park RES 0318,"Georgia Ave.,9th St.,Upshur St.,NW",TRIANGLE,DPR_0318,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0318,none,RES 03180000,TOJ for Comp Plan,,,{AB3C4043-FFED-442B-9AAC-E292E753746E},,,54,0,0
Petworth,"Taylor St., between 8th and 9th Sts., NW",REC CENTER GROUNDS,DPR_0710,Y,0,0,2,0,0,0,0,0,N,N,3,0,0,1,1,0,0,Y,1,0,0,Y,,N,0,6,Nw,Pr,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,4,,10,Y,0710,none,3025    0812,Subdivision Book 158 Page 11 (TOJ to DC for Recreation purposes),1971/10/18 04:00:00+00,,{5DF99A67-69D7-423E-8983-177929E03610},,,55,0,0
Twin Oaks Garden,"14th and Taylor Sts., NW",PARK,DPR_0040,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,4,,09,,none,Powell Elementary School,Multiple Lots,"Survey Book 91, Page 119",1929/01/01 05:00:00+00,,{0726A0C5-7ACB-48F5-B753-562B5132D4D3},,,56,0,0
Triangle Park RES 0319,"New Hampshire Ave.,7th St.,Taylor St.,NW",TRIANGLE,DPR_0319,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0319,none,RES 03190000,TOJ for Comp Plan,,,{1619C888-FD89-4DE4-B486-69F230D59800},,,57,0,0
Hearst,3950 37TH STREET NW,REC CENTER GROUNDS,DPR_0527,Y,1,0,1,0,1,0,3,0,N,Y,2,0,3,0,1,0,0,N,0,0,0,N,,N,0,2,Nne,Nne,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,3,,02,Y,0527,Hearst Elementary School,1905    0802,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{483A3E37-7416-4461-BE63-2317401352B9},,2024/08/26 22:44:17+00,58,0,0
Triangle Park RES 322B,"Michigan Ave, 12th and Shepherd Streets, NE
",TRIANGLE,DPR_322B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,322B,none,RES 322B0000,TOJ for Comp Plan,,,{248F83C5-5AAA-4A65-8425-566A44278F3F},,,59,0,0
Turkey Thicket,"Shepherd St. and Michigan Ave., NE",REC CENTER GROUNDS,DPR_0496,N,0,1,0,0,0,0,0,0,N,N,0,0,0,1,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,5,,10,,0496,Brookland Elementary School,3888    0803,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{9CF8140C-FD20-4666-8C9A-5D79CB0FAA81},,,60,0,0
Triangle Park RES 0322,"New Hampshire Ave.,8th St.,Randolph St.,NW",TRIANGLE,DPR_0322,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0322,none,3131W   0800,TOJ for Comp Plan,,,{417C59C7-F8BB-4E78-87E1-9E0812996233},,,61,0,0
Triangle Park RES 0582,"South Dakota Ave., between Randolph & 19th Sts., NW",TRIANGLE,DPR_0582,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,0582,none,RES 05820000,TOJ for Comp Plan,,,{1756E427-5770-42D2-A9DD-E40913767BC7},,,62,0,0
Spring Valley Park,"49th St. and Fordham Rd., south of Quebec St., NW",PARK,DPR_0543,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,3,,03,,0543,none,1474    0805,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/01/01 05:00:00+00,,{344A87A9-7FC9-409C-A004-F9C7495D4626},,,63,0,0
Triangle Park RES 0321,"Rock Creek Church Rd.,5th St.,Quincy St.,NW",TRIANGLE,DPR_0321,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0321,none,RES 03210000,TOJ for Comp Plan,,,{6A0A6284-6D07-4240-9A23-91376041E5E7},,,64,0,0
Triangle Park RES 323E,"Kansas Ave.,13th St.,Quincy St.,NW",TRIANGLE,DPR_323E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,323E,none,RES 323E0000,TOJ for Comp Plan,,,{B7BF99CF-4D7D-4C77-A911-DEFDCA334B12},,,65,0,0
Raymond,"Spring Rd., between Quincy and 9th Sts., NW",REC CENTER GROUNDS,DPR_0486,Y,1,0,1,0,0,0,2,0,N,N,2,0,0,1,1,0,0,N,0,0,0,N,,N,2,0,RpLACE,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,4,,09,N,0486,Paul Robeson Center,RES 04860000,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{679128C1-F280-4376-A804-24E257BBB9EC},,,66,0,0
Dwight A. Moseley,"18th and Perry Sts., NE",FIELD,DPR_0476,Y,1,2,4,0,0,0,5,0,N,N,0,1,2,1,1,0,0,N,0,0,0,N,,N,0,4,Nw,Nne,Nw,RpLACE,Gd,ChnLnk,Flt,Y,5,,10,N,0476,Taft Center,RES 04760000,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),,,{C3BE8294-517F-4127-91F2-7283857449DB},,2024/08/26 23:01:34+00,67,0,0
Triangle Park RES 0533,"34th St., between Ordway St. & Reno Rd., NW",TRIANGLE,DPR_0533,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,02,,0533,none,RES 05330000,TOJ for Comp Plan,,,{B894EE1A-ED12-484E-8513-E5429224232C},,,68,0,0
Center Parking,"Glenbrook Rd. & Rockwood Pkwy., NW",MEDIAN,DPR_0638,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,03,,0638,none,1513    0901,TOJ for Comp Plan,1972/12/14 05:00:00+00,,{B1DD3119-A088-44A1-8EDB-F6FD4C3E8443},,,69,0,0
Newark Community Gardens,"east of 39th St. and south of Newark St., NW",PARK,DPR_351L,Y,,,,,,,3,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,Y,3,,02,,351L,none,1818    0848,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{4E303902-4D28-492F-B8B7-4B93F19F5DDF},,,70,0,0
Triangle Park RES 0375,"South Dakota Ave., between 20th & Otis Sts., NE",TRIANGLE,DPR_0375,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,0375,none,4226    0043,TOJ for Comp Plan,,,{6FA68920-F4B1-43AC-BF86-2D7617C0BAE4},,,71,0,0
Park View,"Warder St, between Otis and Princeton Pls, NW",REC CENTER GROUNDS,DPR_0613,Y,1,0,1,0,0,0,0,0,N,N,3,1,3,1,0,0,1,N,0,0,0,N,,N,0,4,Nw,RpLACE,Nw,RpLACE,Pr,ChnLnk,Flt,N,1,,04,,none,Park View Elementary School,3032    0001,,,,{7866C097-B006-476A-94E9-4FBAE7718044},,2024/08/26 21:51:42+00,72,0,0
Macomb,"Macomb St., between 34th and 35th Sts., NW",REC CENTER GROUNDS,DPR_0036,Y,1,0,1,0,0,0,0,0,N,N,4,0,3,1,1,0,0,N,0,0,0,N,,N,0,5,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,3,,02,N,none,none,2078    0838,,,,{A759E057-C66D-4C58-BFEE-68F8D667F015},,,73,0,0
Triangle Park RES 310B,"Ogden St.,14th St.,Oak St.,NW",TRIANGLE,DPR_310B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,310B,none,RES 310B0000,TOJ for Comp Plan,,,{0D1F2973-221B-4DFF-8B55-A950DB4FFAA4},,,74,0,0
Monroe Park,"11th and Monroe Sts., NW",PARK,DPR_0039,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,1,,04,,none,none,Multiple Lots,,1972/12/14 05:00:00+00,,{41A3EB89-2CDF-4EA3-848F-28DC294C1762},,,75,0,0
Park Road Park,Park Rd. and 19th St. NW,SMALL PARK,DPR_310C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,310C,none,RES 310C0000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{6D5ADCED-B3C2-479A-8A0B-3D9454EEC24A},,,76,0,0
Triangle Park RES 310A,"Park Rd.,Mt. Pleasant St.,Park Rd.,NW",TRIANGLE,DPR_310A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,310A,none,RES 310A0000,"Subdivision Book 158, Page 45.  TOJ to DC for Comp Plan",,,{CF80DF05-499C-4A3C-9944-71B4AAB5AE4C},,,77,0,0
Triangle Park RES 323A,"New Hampshire Ave.,Sherman Ave.,Park Place,NW",TRIANGLE,DPR_323A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,323A,none,RES 323A0000,TOJ for Comp Plan,,,{CC73E805-C9C7-4766-A434-19F5CCC83304},,,78,0,0
Carolina Park,"Manning Place and Macomb Streets, south of Sherier",PARK,DPR_0400,Y,,,,,,,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,N,3,,03,,"0400,0401",none,Multiple Lots,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{507D66B4-E64F-4C56-BCB1-EB0F60CAB6C8},,,79,0,0
Triangle Park RES 0309,"Mt. Pleasant St.,17th St.,Lamont St.,NW",TRIANGLE,DPR_0309,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,0309,none,RES 03090000,TOJ for Comp Plan,,,{F7F75889-4ADF-486B-BACA-F8ADA273543A},,,80,0,0
16th Street Playground,"16th and Lamont Sts., NW",PARK,DPR_0579,Y,1,0,1,0,0,1,2,0,N,N,,,,1,0,0,0,,,,,,,,,,,,,,,,,N,1,,04,,0579,Lincoln Middle School,Multiple Lots,"Subdivision 152, Page 140.  TOJ to DC for recreation purposes",,,{E70F0BEB-13F5-4A2E-AB60-A3C2F24491DD},,2024/08/26 23:01:34+00,81,0,0
Columbia Heights Civic Plaza,14TH STREET NW AND PARK ROAD NW,SMALL PARK,DPR_0003,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,none,2843    0834,,,,{D7B634CB-7914-484B-A773-CD5321C89EFA},,2024/08/26 22:26:47+00,82,0,0
