X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8573724.66018656,4718097.80272421,1,BP Blaire Gas Station,7000 Blair Rd NW,398346.95,145235.41,Exact,249127,38.97503886,-77.01907675,HealthyCornerStorePt_1,{F6CD05AE-1648-404D-B7A3-603BE5E3361B},,,,
-8574765.70403932,4716161.92553384,2,Missouri Avenue Market,5900 Georgia Ave NW,397536.12,143734.68,Exact,253189,38.96151802,-77.0284286,HealthyCornerStorePt_2,{87C1AAA2-139C-4A8D-AA34-DF7A3AA1312C},,,,
-8572753.53825405,4715433.63556573,3,Capital View Convenience Store,12 Kennedy St NW,399102.65,143169.61,Exact,283923,38.95643072,-77.01035301,HealthyCornerStorePt_3,{77D178A5-1D12-492B-A96C-5D0FFC242C97},,,,
-8574689.83024651,4715345.79775713,4,S&G Liquor and Grocery,5421 Georgia Ave NW,397595,143101.81,Exact,254615,38.95581712,-77.02774702,HealthyCornerStorePt_4,{D8EB793F-418B-43A8-843B-DA0CFACA0832},,,,
-8573849.05025979,4715345.96143993,5,Starlight Food,5424 5th St NW,0,0,Manual,,,,HealthyCornerStorePt_5,{1DA97531-D58F-4F82-9D9B-4071D1B7B361},,,,
-8572401.54740125,4714518.06892379,6,Milestone Place,4860 Fort Totten Dr NE,399376.66,142459.57,Exact,16680,38.95003472,-77.00719103,HealthyCornerStorePt_6,{80556AEA-F113-4E16-A788-3A18FB287469},,,,
-8574566.92139084,4714286.87014787,7,Kwik Stop,4801 Georgia Ave NW,397690.46,142280.58,Exact,252033,38.94841952,-77.02664291,HealthyCornerStorePt_7,{754C7587-F6CA-4CE3-8410-2D573D01F0AA},,,,
-8570625.4721751,4712179.56968523,8,Newton Market,3600 12th St NE,400759.84,140645.81,Exact,33055,38.93369574,-76.99123628,HealthyCornerStorePt_8,{00EC9228-3F6D-43EE-922A-E1A0D4297646},,,,
-8574182.1950214,4711708.5760222,9,7 Days Market,3211 Georgia Ave NW,397989.54,140280.67,Exact,229000,38.93040448,-77.02318685,HealthyCornerStorePt_9,{02F32E5B-44F4-4906-AD51-0DCD2CC67F6F},,,,
-8567138.64089567,4711624.64645813,10,Dollar Plus Food Store (Bladensburg Rd.),3182 Bladensburg Rd NE,403475.8,140216.07,Exact,287723,38.92981797,-76.95991355,HealthyCornerStorePt_10,{68C71BD0-D14D-4659-835A-6CC27D771DCE},,,,
-8568905.93522635,4711582.80888988,11,Good Food Markets,2006 Rhode Island Ave NE,402099.25,140183.13,Exact,53027,38.9295256,-76.97578942,HealthyCornerStorePt_11,{FE9E6F06-FBEA-453B-AF1D-CDF5863FDCD2},,,,
-8574153.58555979,4711483.12281537,12,Market 77,3021 Georgia Ave NW,398011.78,140105.77,Exact,229488,38.92882898,-77.02292985,HealthyCornerStorePt_12,{62706C17-4843-480F-96EC-50C8C5691F46},,,,
-8574476.66551698,4711359.51840653,13,Stop And Go,3001 Sherman Ave NW,397760.1,140009.95,Exact,232775,38.92796519,-77.02583213,HealthyCornerStorePt_13,{C3FAD99F-EFF9-45FD-A4C7-69C35F525A30},,,,
